,product_url,overall_ratings,is_vegan,is_cruelty_free,award_wins,is_clean_product,has_clinical_results,has_alcohol,price,sizing_options_count,image_count,video_count,combination_skin_type,dry_skin_type,normal_skin_type,oily_skin_type,sensitive_skin_type,wrinkles_skincare_concerns,dryness_skincare_concerns,dark_circles_skincare_concerns,uneven_tone_skincare_concerns,loss_of_firmness_skincare_concerns,acne_skincare_concerns,dark_spots_skincare_concerns,targets_signs_of_aging_skincare_concerns,puffiness_skincare_concerns,lightweight_liquid_skincare_concerns,uneven_texture_skincare_concerns,redness_skincare_concerns,oiliness_skincare_concerns,makeup_removal_skincare_concerns,pores_skincare_concerns,from_famous_brand
91,https://www.sephora.com/product/dr-zenovia-skin-care-bakuchiol-hydrating-cleanser-P464245?icid2=products grid:p464245,4.5,0,1,0,0,0,0,42.0,1,5,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
92,https://www.sephora.com/product/green-tea-hydrating-cleansing-oil-P449842?icid2=products grid:p449842,4.0,0,0,0,0,0,1,22.0,1,2,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
93,https://www.sephora.com/product/coconut-rose-toner-P416144?icid2=products grid:p416144,4.5,1,1,0,1,0,1,25.0,1,4,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
94,https://www.sephora.com/product/korres-black-pine-plump-up-sleeping-facial-P456422?icid2=products grid:p456422,3.5,1,1,0,1,1,1,68.0,1,4,0,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
95,https://www.sephora.com/product/farmacy-honey-halo-ultra-hydrating-ceramide-moisturizer-P463036?icid2=products grid:p463036,4.5,0,1,0,1,0,1,45.0,1,5,1,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
96,https://www.sephora.com/product/creamy-cleansing-foam-moist-P394627?icid2=products grid:p394627,4.0,0,0,0,1,0,1,26.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,https://www.sephora.com/product/ultracalming-cleanser-P423127?icid2=products grid:p423127,4.5,0,1,0,0,0,1,39.0,1,4,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1
98,https://www.sephora.com/product/b-well-organic-australian-100-tea-tree-oil-P440274?icid2=products grid:p440274,5.0,1,1,0,1,0,1,32.0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,https://www.sephora.com/product/the-inkey-list-peptide-moisturizer-P455369?icid2=products grid:p455369,4.0,1,1,0,1,0,1,14.99,1,7,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
100,https://www.sephora.com/product/danessa-myricks-beauty-oil-with-gold-leaf-P469454?icid2=products grid:p469454,5.0,0,1,0,0,0,0,30.0,1,5,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,https://www.sephora.com/product/caudalie-vinoclean-makeup-removing-cleansing-oil-P468637?icid2=products grid:p468637,4.5,1,0,0,1,0,1,28.0,1,4,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
102,https://www.sephora.com/product/rinse-off-eye-makeup-solvent-P122763?icid2=products grid:p122763,4.5,0,0,0,0,0,0,20.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
103,https://www.sephora.com/product/watermelon-glow-sleeping-mask-P420160?icid2=products grid:p420160,4.0,1,1,0,1,1,1,45.0,2,8,2,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
